Temperature (C),Humidity (%),Date and Time
18.8,100,06/01/2025 15:37
18.1,40,06/01/2025 15:38
23.5,70,06/01/2025 15:39
22,80,06/01/2025 15:40
29.8,95,06/01/2025 15:41
28.1,43,06/01/2025 15:42
28.6,46,06/01/2025 15:43
23.7,59,06/01/2025 15:44
19.9,47,06/01/2025 15:45
26.2,58,06/01/2025 15:46
26.2,44,06/01/2025 15:47
15.5,75,06/01/2025 15:48
15.8,31,06/01/2025 15:49
24.9,87,06/01/2025 15:50
19.3,55,06/01/2025 15:51
16.3,98,06/01/2025 15:52
22.7,87,06/01/2025 15:53
18.5,52,06/01/2025 15:54
27.4,80,06/01/2025 15:55
19,66,06/01/2025 15:56
18.2,61,06/01/2025 15:57
27.8,84,06/01/2025 15:58
18.1,79,06/01/2025 15:59
25.4,70,06/01/2025 16:00
20.3,89,06/01/2025 16:01
15.4,48,06/01/2025 16:02
17.2,41,06/01/2025 16:03
27.6,80,06/01/2025 16:04
21.4,70,06/01/2025 16:05
21.9,56,06/01/2025 16:06
19.5,64,06/01/2025 16:07
29.4,88,06/01/2025 16:08
16.1,70,06/01/2025 16:09
18.7,98,06/01/2025 16:10
19.7,33,06/01/2025 16:11
15.4,50,06/01/2025 16:12
27.2,62,06/01/2025 16:13
26.7,83,06/01/2025 16:14
15.2,91,06/01/2025 16:15
26.6,90,06/01/2025 16:16
16.9,31,06/01/2025 16:17
27.1,94,06/01/2025 16:18
22.5,36,06/01/2025 16:19
29.5,49,06/01/2025 16:20
19.6,98,06/01/2025 16:21
29.4,45,06/01/2025 16:22
22.5,38,06/01/2025 16:23
16.8,35,06/01/2025 16:24
20.4,88,06/01/2025 16:25
26.9,44,06/01/2025 16:26
17.5,55,06/01/2025 16:27
20.5,96,06/01/2025 16:28
28.5,81,06/01/2025 16:29
17.5,94,06/01/2025 16:30
23.6,75,06/01/2025 16:31
16.1,56,06/01/2025 16:32
21.4,99,06/01/2025 16:33
23.4,79,06/01/2025 16:34
16,38,06/01/2025 16:35
21.9,33,06/01/2025 16:36
20.8,50,06/01/2025 16:37
24.9,33,06/01/2025 16:38
20.4,65,06/01/2025 16:39
24.3,92,06/01/2025 16:40
17.5,80,06/01/2025 16:41
20.9,31,06/01/2025 16:42
16.4,36,06/01/2025 16:43
25.2,39,06/01/2025 16:44
22.7,73,06/01/2025 16:45
15.3,53,06/01/2025 16:46
21.7,94,06/01/2025 16:47
24.6,37,06/01/2025 16:48
20.6,69,06/01/2025 16:49
21.4,92,06/01/2025 16:50
27.4,63,06/01/2025 16:51
16.1,41,06/01/2025 16:52
21.2,30,06/01/2025 16:53
15.6,87,06/01/2025 16:54
23.7,38,06/01/2025 16:55
26.3,85,06/01/2025 16:56
22.7,95,06/01/2025 16:57
26.2,55,06/01/2025 16:58
18.2,73,06/01/2025 16:59
29.4,52,06/01/2025 17:00
26.2,64,06/01/2025 17:01
18.3,65,06/01/2025 17:02
24.7,73,06/01/2025 17:03
15.5,99,06/01/2025 17:04
16,78,06/01/2025 17:05
21.6,79,06/01/2025 17:06
24.1,85,06/01/2025 17:07
20.6,46,06/01/2025 17:08
25.9,45,06/01/2025 17:09
21.1,66,06/01/2025 17:10
15.3,52,06/01/2025 17:11
22.8,42,06/01/2025 17:12
27.3,65,06/01/2025 17:13
21.8,51,06/01/2025 17:14
27.6,95,06/01/2025 17:15
28.3,44,06/01/2025 17:16
27.5,64,06/01/2025 17:17
16.1,82,06/01/2025 17:18
29.2,100,06/01/2025 17:19
21.5,99,06/01/2025 17:20
22.7,69,06/01/2025 17:21
22.5,81,06/01/2025 17:22
27.3,99,06/01/2025 17:23
15.4,60,06/01/2025 17:24
28,50,06/01/2025 17:25
18.9,72,06/01/2025 17:26
24.3,82,06/01/2025 17:27
16.4,48,06/01/2025 17:28
17,39,06/01/2025 17:29
18.5,84,06/01/2025 17:30
29.3,50,06/01/2025 17:31
19.2,69,06/01/2025 17:32
25.9,80,06/01/2025 17:33
16.5,77,06/01/2025 17:34
29.6,35,06/01/2025 17:35
23.6,89,06/01/2025 17:36
15.9,41,06/01/2025 17:37
15.2,40,06/01/2025 17:38
17.4,80,06/01/2025 17:39
28.8,72,06/01/2025 17:40
28.3,41,06/01/2025 17:41
16.1,73,06/01/2025 17:42
18.2,52,06/01/2025 17:43
25.9,67,06/01/2025 17:44
29,80,06/01/2025 17:45
28.9,76,06/01/2025 17:46
21.6,74,06/01/2025 17:47
28,41,06/01/2025 17:48
16.1,50,06/01/2025 17:49
19.1,38,06/01/2025 17:50
17.2,58,06/01/2025 17:51
26.5,47,06/01/2025 17:52
16.2,60,06/01/2025 17:53
15.6,88,06/01/2025 17:54
15.1,51,06/01/2025 17:55
28.7,81,06/01/2025 17:56
29.7,64,06/01/2025 17:57
19.3,37,06/01/2025 17:58
19.8,58,06/01/2025 17:59
24.9,52,06/01/2025 18:00
27.8,43,06/01/2025 18:01
15.8,100,06/01/2025 18:02
25.2,96,06/01/2025 18:03
16.2,62,06/01/2025 18:04
15.8,45,06/01/2025 18:05
24.4,44,06/01/2025 18:06
29.8,55,06/01/2025 18:07
16.1,39,06/01/2025 18:08
15.5,70,06/01/2025 18:09
16.7,96,06/01/2025 18:10
24.1,95,06/01/2025 18:11
16.8,33,06/01/2025 18:12
16.2,100,06/01/2025 18:13
15.6,33,06/01/2025 18:14
29.9,38,06/01/2025 18:15
15.4,61,06/01/2025 18:16
22.7,79,06/01/2025 18:17
16.5,99,06/01/2025 18:18
20.4,48,06/01/2025 18:19
22.4,36,06/01/2025 18:20
23.1,31,06/01/2025 18:21
29.2,95,06/01/2025 18:22
16.8,84,06/01/2025 18:23
18.6,59,06/01/2025 18:24
26.6,48,06/01/2025 18:25
26,63,06/01/2025 18:26
17.1,90,06/01/2025 18:27
26.7,88,06/01/2025 18:28
17.3,82,06/01/2025 18:29
17,96,06/01/2025 18:30
26.2,53,06/01/2025 18:31
18.6,56,06/01/2025 18:32
26.6,65,06/01/2025 18:33
19.3,90,06/01/2025 18:34
17.8,71,06/01/2025 18:35
28.9,49,06/01/2025 18:36
16,76,06/01/2025 18:37
17.5,38,06/01/2025 18:38
28.7,49,06/01/2025 18:39
21.7,33,06/01/2025 18:40
25.1,72,06/01/2025 18:41
18.3,70,06/01/2025 18:42
20.2,96,06/01/2025 18:43
26.1,60,06/01/2025 18:44
19.1,70,06/01/2025 18:45
21.6,66,06/01/2025 18:46
22.7,34,06/01/2025 18:47
18,61,06/01/2025 18:48
27.6,87,06/01/2025 18:49
21.8,68,06/01/2025 18:50
19.5,64,06/01/2025 18:51
24,64,06/01/2025 18:52
